Name of State / UT,state_code,abbreviation_code,state_helpline,covid_portal_url,covid_facilities,state_donation_url,Total Confirmed cases,Active,Cured/Discharged/Migrated,Death,whatsapp_chatbot_url,fb_chatbot_url,epass_url,last_confirmed_covid_cases,last_cured_discharged,last_death,last_active_covid_cases,diff_confirmed_covid_cases,diff_cured_discharged,diff_death,diff_active_covid_cases,as_on,updated_on
Gujarat,24,GJ,"104, 079-23250818, 079-23251900",https://gujcovid19.gujarat.gov.in/,https://nrhm.gujarat.gov.in/cir-noti-covid-19.htm,https://iora.gujarat.gov.in/cmrf/,1177931,69187,1098199,10545,https://wa.me/917433000104?text=Hi,,https://www.digitalgujarat.gov.in/Citizen/CitizenService.aspx,1168997,1083022,10511,75464,8934,15177,34,-6277,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Haryana,6,HR,8558893911,https://haraadesh.nic.in/,http://nhmharyana.gov.in/page.aspx?id=208,https://haryana.gov.in/,955693,20882,924474,10337,,,http://edisha.gov.in/eForms/HRMovePass,952426,919357,10320,22749,3267,5117,17,-1867,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Himachal Pradesh,2,HP,104,http://covidorders.hp.gov.in/,http://www.nrhmhp.gov.in/content/covid-health-facilities,https://cmhimachal.nic.in/,273243,9422,259814,4007,,,http://covid19epass.hp.gov.in/,272952,259273,4007,9672,291,541,0,-250,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Jammu and Kashmir,1,JK,"0191-2520982, 0194-2440283",https://jammu.nic.in/covid19/,https://www.jknhm.com/covidfacilities.php,https://jammu.nic.in/covid19/,440480,29829,405959,4692,,,http://jkmonitoring.nic.in/,438176,400935,4683,32558,2304,5024,9,-2729,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Jharkhand,20,JH,104,https://www.jharkhand.gov.in/Home/Covid19Dashboard,http://jrhms.jharkhand.gov.in/FileUploaded%20By%20User/DCovid_Hospitals.pdf,http://jharkhand.gov.in/,429773,3781,420686,5306,,,,429172,419497,5303,4372,601,1189,3,-591,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Karnataka,29,KA,"104, 1075, 080-46848600, 080-66692000, 9745697456, 080-1070",https://covid19.karnataka.gov.in,https://karunadu.karnataka.gov.in/hfw/nhm/pages/home.aspx,https://cmrf.karnataka.gov.in/English/index.html,3844338,177276,3627925,39137,https://wa.me/918750971717?text=Hi,https://m.me/KarnatakaVarthe.Official,https://sevasindhu.karnataka.gov.in/Sevasindhu/English,3823833,3587022,39056,197755,20505,40903,81,-20479,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Kerala,32,KL,0471-2552056,http://dhs.kerala.gov.in/public-health-2019-n-corona-virus/,http://arogyakeralam.gov.in/2020/03/25/guidelines/,https://donation.cmdrf.kerala.gov.in/,6129755,378564,5695091,56100,https://wa.me/919072220183?text=Hi,,https://covid19jagratha.kerala.nic.in/home/addDomestic,6077556,5653376,55600,368580,52199,41715,500,9984,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Ladakh,37,LA,0198-2256462,http://covid.ladakh.gov.in/,https://leh.nic.in/notice/covid19-hospital/,http://covid.ladakh.gov.in/,26400,1140,25034,226,,,https://leh.nic.in/epass/,26186,24857,225,1104,214,177,1,36,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Lakshadweep,31,LD,104,https://lakshadweep.gov.in/notice_category/covid_19/,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/05/2020051228-1.pdf,https://lakshadweep.gov.in/,11150,225,10873,52,,,,11121,10824,52,245,29,49,0,-20,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Maharashtra,27,MH,020-26127394,https://covid-19.maharashtra.gov.in/,https://arogya.maharashtra.gov.in/1177/Dedicated-COVID-Facilities-Status,https://cmrf.maharashtra.gov.in/CMRFCitizen/DonationOnlineForm.action,7753548,177131,7433633,142784,https://wa.me/912026127394?text=Hi,,https://covid19.mhpolice.in/,7735481,7397352,142705,195424,18067,36281,79,-18293,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Manipur,14,MN,"0385-2411668, 1800-345-3818",https://manipur.gov.in/?page_id=16984,http://nrhmmanipur.org/?page_id=2602,https://manipur.gov.in/?p=16980,133905,3943,127909,2053,,,https://tengbang.in/,133583,127572,2050,3961,322,337,3,-18,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Meghalaya,17,ML,"108, 1070",http://meghalayaonline.gov.in/covid/,http://meghalayaonline.gov.in/covid/images/materials/hospitals.pdf,http://megcmrf.gov.in/index.htm,91621,2075,88013,1533,,,https://megedistrict.gov.in/,91387,87626,1529,2232,234,387,4,-157,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Mizoram,15,MZ,102,https://mcovid19.mizoram.gov.in,http://nhmmizoram.org/page?id=202,http://mizoram.nic.in/,179740,15563,163560,617,,,https://mcovid19.mizoram.gov.in/,177595,161642,615,15338,2145,1918,2,225,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Madhya Pradesh,23,MP,104,https://mapit.gov.in/covid-19/,https://www.nhmmp.gov.in/CovidInformation.aspx,https://mapit.gov.in/cmrf/,981103,53951,916522,10630,https://wa.me/917834980000?text=Hi,https://m.me/jansampark.madhyapradesh,https://mapit.gov.in/covid-19/,973744,906826,10624,56294,7359,9696,6,-2343,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Nagaland,13,NL,"7005539653, 1800-345-0019",https://covid19.nagaland.gov.in,http://nhmnagaland.in/Notification_file_path/Dedicated%20COVID%20Hospitals%20in%20Nagaland.pdf,https://chiefminister.nagaland.gov.in/chief-ministers-relief-fund/,34610,840,33034,736,,,,34524,32894,736,894,86,140,0,-54,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Odisha,21,OR,9439994859,https://covid19.odisha.gov.in/,https://statedashboard.odisha.gov.in/,https://cmrfodisha.gov.in/,1255776,31748,1215380,8648,https://wa.me/919337929000?text=Hi,http://m.me/HFWOdisha,https://covid19.odisha.gov.in/,1252326,1209313,8629,34384,3450,6067,19,-2636,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Puducherry,34,PY,104,https://covid19dashboard.py.gov.in,https://health.py.gov.in/sites/default/files/NEET-PDF/Categorisation%20of%20covid%20facilities.pdf,https://covid19dashboard.py.gov.in,162633,6852,153840,1941,,,,161891,150689,1935,9267,742,3151,6,-2415,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Punjab,3,PB,104,http://covidhelp.punjab.gov.in/,http://pbhealth.gov.in/,https://cmrf.punjab.gov.in/,746837,17750,711767,17320,https://wa.me/917380173801?text=Hi,http://m.me/PunjabGovtIndia,,745129,706900,17292,20937,1708,4867,28,-3187,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Rajasthan,8,RJ,"104, 108",https://covidinfo.rajasthan.gov.in/,http://rajswasthya.nic.in/PDF/COvid%20Facility%20Rajasthan.pdf,https://cmrelief.rajasthan.gov.in/Covid-19.aspx,1221061,58603,1153148,9310,https://wa.me/911412225624?text=Hi,http://m.me/RajGovOfficial,https://sso.rajasthan.gov.in/signin,1212633,1140309,9288,63036,8428,12839,22,-4433,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Sikkim,11,SK,104,https://www.covid19sikkim.org/,https://www.covid19sikkim.org/,https://cmdrf.sikkim.gov.in/,38353,727,37194,432,,,https://eservices.sikkim.gov.in/directApply.do?serviceId=1364,38250,36966,432,852,103,228,0,-125,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Tamil Nadu,33,TN,044-29510500,https://stopcorona.tn.gov.in/,https://stopcorona.tn.gov.in/%e0%ae%ae%e0%af%81%e0%ae%95%e0%af%8d%e0%ae%95%e0%ae%bf%e0%ae%af-%e0%ae%a4%e0%ae%95%e0%ae%b5%e0%ae%b2%e0%af%8d%e0%ae%95%e0%ae%b3%e0%af%8d/,https://ereceipt.tn.gov.in/cmprf/Cmprf,3375329,177999,3159694,37636,,,https://tnepass.tnega.org/,3361316,3135118,37599,188599,14013,24576,37,-10600,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Telengana,36,TG,104,https://covid19.telangana.gov.in/,https://www.chfw.telangana.gov.in/covid_hospitals.html,https://ts.meeseva.telangana.gov.in/Covid/CovidContribution.htm,769407,34665,730648,4094,https://wa.me/919000658658?text=Hi,,,766761,727045,4091,35625,2646,3603,3,-960,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Tripura,16,TR,"112, 0381-2315879, 8794534501",https://tripura.gov.in/covid-test,http://tripuranrhm.gov.in/home/0905202001.pdf,https://cmrf.tripura.gov.in/,100522,2368,97240,914,,,https://covid19.tripura.gov.in/,100454,96732,913,2809,68,508,1,-441,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Uttar Pradesh,9,UP,"1800-180-5145, 6389300137, 0522-4523000, 0522-2610145",https://rahatup.in/,https://updgmh-covid19.maps.arcgis.com/apps/opsdashboard/index.html#/bfc888151feb48928a4f6885ca20e83c,https://rahatup.in/Home/Donate,2029216,41795,1964167,23254,https://wa.me/919454441036?text=Hi,https://m.me/InfoDeptUP,http://jansunwai.up.nic.in/,2024200,1953769,23233,47198,5016,10398,21,-5403,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Uttarakhand,5,UT,"104, 0135-2722100, 0135-2724506",https://health.uk.gov.in/pages/display/140-novel-corona-virus-guidelines-and-advisory-,https://health.uk.gov.in/pages/view/102-dedicated-covid-facilities-in-state,https://cmrf.uk.gov.in/,425309,26071,391664,7574,,,http://smartcitydehradun.uk.gov.in/e-pass,423228,388369,7564,27295,2081,3295,10,-1224,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
West Bengal,19,WB,"1800-313-444-222, 033-23412600",https://wb.gov.in/COVID-19.aspx,https://www.wbhealth.gov.in/uploaded_files/corona/Notification___Revised___67_Covid_Hospital___30.04_.2020_.pdf,https://wb.gov.in/COVID-19.aspx,2000253,21880,1957686,20687,https://wa.me/918697245555?text=Hi,,https://wb.gov.in/COVID-19.aspx,1997530,1954736,20652,22142,2723,2950,35,-262,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
